T,R
25, 0.0566
35, 0.0585
45, 0.0603
55, 0.0644
65, 0.0662
75, 0.0696
85, 0.0725
95, 0.0759
105, 0.0316
115, 0.0824
125, 0.0857
135, 0.0897
145, 0.0928
155, 0.0975
165, 0.1000
175, 0.1056
185, 0.1082
195, 0.1332
205, 0.1162
215, 0.1222
225, 0.1250
235, 0.1317
245, 0.1343
255, 0.1408
265, 0.1473
275, 0.1510
285, 0.1583
295, 0.1624
305, 0.1701
315, 0.1745
325, 0.1817
335, 0.1882
345, 0.1941
355, 0.2017
365, 0.2047
375, 0.2074
385, 0.2110
395, 0.2125
405, 0.2172
415, 0.2197
425, 0.2210
435, 0.2228
445, 0.2258
455, 0.2278
465, 0.2297
475, 0.2331
485, 0.2345
495, 0.2358
505, 0.2389
